"Model"	"RMSE_vsa"	"RMSE_kfold"
1	0.684342263917328	0.683473166922881
2	0.42586330063626	0.416973785907966
3	0.693007118633273	0.69056706117368
4	0.447640413009051	0.441550434276131
5	0.420481816536257	0.411852128161063
6	0.427301091638349	0.419799059755061
7	0.424301676817136	0.415051781048316
8	0.423386682084232	0.414616917748419
9	0.418318793731481	0.409832722686029
